u,v,y
11,235,6532.0254
9,200,6610.0254
42,736,4165.007
46,787,1865.0029
3,98,5568.0186
43,750,2109.0024
48,830,5017.0137
49,845,5432.018
0,64,1326.0015
5,136,3018.0105
0,56,6218.0215
45,785,4614.012
24,444,2768.0044
46,791,2066.0024
10,223,4616.015
45,781,1507.0026
27,496,2520.0085
12,249,9940.022
47,811,1509.0026
49,834,2618.0078
33,582,2506.0085
9,209,2015.0028
7,170,5972.0234
29,518,2103.0073
39,674,1635.0018
8,192,2505.0046
45,777,3582.0088
33,591,2268.0046
40,695,3712.011
8,178,4163.011
9,204,3967.015
48,829,5281.014
33,592,1053.0017
3,110,3929.0132
43,751,2806.0095
16,309,1504.0026
17,331,5611.021
38,663,2335.0022
14,281,2812.0056
15,291,4510.017
24,437,3818.0093
46,794,4327.012
27,485,4717.0073
41,711,3115.0098
9,206,5363.015
39,677,5284.017
1,70,3772.01
18,338,1727.0021
12,243,3067.0063
17,335,1056.0017
15,303,3015.0105
34,601,2918.004
43,741,2427.0034
38,664,6624.026
34,607,3812.01
38,666,3177.0056
29,526,5971.0186
8,190,7010.0273
25,459,3620.0105
39,689,5121.018
47,808,7818.027
15,294,3631.0103
37,646,4032.0098
14,275,2259.0063
7,174,3858.0112
23,432,2014.0028
3,109,5871.022
43,743,3680.0088
7,169,3712.0093
25,465,5079.0146
14,274,1005.00055
22,410,5723.0176
44,762,1907.0034
37,651,2319.0037
26,477,2911.0085
17,328,6836.015
15,295,4512.017
25,454,3812.014
2,94,3618.0085
8,185,4583.011
34,606,2503.0085
29,515,1510.0026
16,310,3286.0037
2,90,3615.009
12,252,4230.0107
4,114,2111.0027
44,754,3630.0051
26,467,5276.017
27,483,6122.0137
29,521,2411.0034
8,182,3056.01
35,625,3387.0051
8,188,1604.0007
7,171,4811.02
2,96,1753.006
18,339,919.001
11,234,3625.0066
3,103,4668.01
34,608,2809.0056
48,826,3819.0117
44,755,5850.0127
26,471,1266.0023
19,355,2114.0073
37,657,5015.015
36,630,2816.0095
10,218,6620.017
20,384,4513.013
32,566,3615.006
10,222,3919.0107
35,611,2810.0095
35,622,3587.006
9,194,3613.0051
17,326,4230.0107
20,381,1508.0026
28,507,1262.0023
20,376,1613.0022
49,847,1810.0017
24,438,3212.0066
21,388,5415.018
14,276,7339.0264
6,160,3803.0078
19,369,1511.0026
